#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         1905.46     5.02443e-14     5.02443e-14     5.02443e-14
         2026.13     4.22257e-14     4.22257e-14     4.22257e-14
         2154.43      3.5484e-14      3.5484e-14      3.5484e-14
         2290.87     2.98165e-14     2.98165e-14     2.98165e-14
         2435.94     2.50523e-14     2.50523e-14     2.50523e-14
          2590.2     2.10478e-14     2.10478e-14     2.10478e-14
         2754.23     1.76822e-14     1.76822e-14     1.76822e-14
         2928.64     1.48536e-14     1.48536e-14     1.48536e-14
         3114.11     1.24767e-14     1.24767e-14     1.24767e-14
         3311.31     1.04793e-14     1.04793e-14     1.04793e-14
         3521.01     8.80115e-15     8.80115e-15     8.80115e-15
         3743.98     7.39121e-15     7.39121e-15     7.39121e-15
         3981.07     6.20672e-15     6.20672e-15     6.20672e-15
         4233.18      5.2117e-15      5.2117e-15      5.2117e-15
         4501.25     4.37591e-15     4.37591e-15     4.37591e-15
          4786.3     3.67391e-15     3.67391e-15     3.67391e-15
          5089.4     3.08433e-15     3.08433e-15     3.08433e-15
          5411.7      2.5892e-15      2.5892e-15      2.5892e-15
          5754.4     2.17342e-15     2.17342e-15     2.17342e-15
         6118.81     1.82429e-15     1.82429e-15     1.82429e-15
         6506.29     1.53115e-15     1.53115e-15     1.53115e-15
         6918.31     1.28503e-15     1.28503e-15     1.28503e-15
         7356.42     1.07841e-15     1.07841e-15     1.07841e-15
         7822.28      9.0496e-16      9.0496e-16      9.0496e-16
         8317.64     7.59362e-16     7.59362e-16     7.59362e-16
         8844.37     6.37151e-16     6.37151e-16     6.37151e-16
         9404.45     5.34578e-16     5.34578e-16     5.34578e-16
